pair_id,from_node,to_node,reachable,reason,same_path,short_total_length_km,short_total_weight_km,short_edges,short_hotspot_edges,short_hotspot_share_pct,short_avg_hotspot_rate,short_max_hotspot_rate,avoid_total_length_km,avoid_total_weight_km,avoid_edges,avoid_hotspot_edges,avoid_hotspot_share_pct,avoid_avg_hotspot_rate,avoid_max_hotspot_rate,extra_distance_km,hotspot_edges_reduction,avg_hotspot_rate_reduction,max_hotspot_rate_reduction,explainability_short
84,A407,A112 Tramway Ave,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
85,A407,A11 roundabout,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
86,A407,A411,1,,0.0,9.0,10.565217,7.0,1.0,14.286,0.074534,0.521739,9.265217,9.265217,7.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.074534,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
87,A407,A110 Cecil Rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
88,A407,A1005,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
89,A407,A110 Cecil Rd/Sydney Rd roundabout,1,,1.0,11.4,11.4,5.0,0.0,0.0,0.0,0.0,11.4,11.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
90,A407,A110 Cecil Rd/Sydney Road roundabout,1,,1.0,11.4,11.4,5.0,0.0,0.0,0.0,0.0,11.4,11.4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
91,A407,A1112,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
92,A407,A124 roundabout,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
93,A407,A106 Grove Green Rd,1,,1.0,3.925,3.925,4.0,0.0,0.0,0.0,0.0,3.925,3.925,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
94,A407,A117,1,,1.0,5.480556,5.480556,4.0,0.0,0.0,0.0,0.0,5.480556,5.480556,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
95,A407,A118,1,,1.0,5.525,5.525,4.0,0.0,0.0,0.0,0.0,5.525,5.525,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
96,A407,A12,1,,1.0,6.534091,6.534091,5.0,0.0,0.0,0.0,0.0,6.534091,6.534091,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, | Edges added in the avoid route (top changes): |   (none)
97,A407,A124,1,,0.0,5.928571,7.493789,4.0,1.0,25.0,0.130435,0.521739,6.193789,6.193789,4.0,0.0,0.0,0.0,0.0,0.265218,1.0,0.130435,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
98,A407,A114 Whipps Cross Rd roundabout,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
99,A407,Snaresbrook Rd,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
100,A407,A114 Whipps Cross Road roundabout,0,No path in one or both objectives,,,,,,,,,,,,,,,,,,,,
101,A407,A116,1,,0.0,4.98,6.545217,4.0,1.0,25.0,0.130435,0.521739,5.245217,5.245217,4.0,0.0,0.0,0.0,0.0,0.265217,1.0,0.130435,0.521739,  - A41 -> LA Boundary | hotspot_rate=0.5217 | penalty_km=1.5652 | len_km=1.5000 |  | Edges added in the avoid route (top changes): |   + A407 -> A406 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=2.1000 |   + A406 -> A504 | hotspot_rate=0.0000 | penalty_km=0.0000 | len_km=1.3652
