route,seq,src,dst,length_km,hotspot_rate,weight_km,penalty_km,from_node,to_node
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A106
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A106
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A106
avoid_hotspots,4,LA Boundary,A106,2.1,0.0,2.1,0.0,A407,A106
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A106 Grove Green Rd
shortest_distance,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A106 Grove Green Rd
shortest_distance,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A106 Grove Green Rd
shortest_distance,4,A112,A106 Grove Green Rd,0.4,0.0,0.4,0.0,A407,A106 Grove Green Rd
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A106 Grove Green Rd
avoid_hotspots,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A106 Grove Green Rd
avoid_hotspots,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A106 Grove Green Rd
avoid_hotspots,4,A112,A106 Grove Green Rd,0.4,0.0,0.4,0.0,A407,A106 Grove Green Rd
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A107
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A107
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A107
shortest_distance,4,LA Boundary,A106,2.1,0.0,2.1,0.0,A407,A107
shortest_distance,5,A106,A107,1.6,0.0,1.6,0.0,A407,A107
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A107
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A107
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A107
avoid_hotspots,4,LA Boundary,A106,2.1,0.0,2.1,0.0,A407,A107
avoid_hotspots,5,A106,A107,1.6,0.0,1.6,0.0,A407,A107
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A107 Mare St
shortest_distance,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A107 Mare St
shortest_distance,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A107 Mare St
shortest_distance,4,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045,A407,A107 Mare St
shortest_distance,5,A104,A107 Mare St,0.3,0.0,0.3,0.0,A407,A107 Mare St
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A107 Mare St
avoid_hotspots,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A107 Mare St
avoid_hotspots,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A107 Mare St
avoid_hotspots,4,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045,A407,A107 Mare St
avoid_hotspots,5,A104,A107 Mare St,0.3,0.0,0.3,0.0,A407,A107 Mare St
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1080
shortest_distance,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1080
shortest_distance,3,A504,A1080,0.2,0.0,0.2,0.0,A407,A1080
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1080
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1080
avoid_hotspots,3,A504,A1080,0.2,0.0,0.2,0.0,A407,A1080
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A109
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A109
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A109
shortest_distance,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A109
shortest_distance,5,A10,A109,0.5,0.0,0.5,0.0,A407,A109
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A109
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A109
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A109
avoid_hotspots,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A109
avoid_hotspots,5,A10,A109,0.5,0.0,0.5,0.0,A407,A109
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A109/A5109
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A109/A5109
shortest_distance,3,A41,A598,0.5,0.0,0.5,0.0,A407,A109/A5109
shortest_distance,4,A598,A109/A5109,1.7,0.0,1.7,0.0,A407,A109/A5109
avoid_hotspots,1,A407,A5,2.1,0.0,2.1,0.0,A407,A109/A5109
avoid_hotspots,2,A5,A41,0.4,0.0,0.4,0.0,A407,A109/A5109
avoid_hotspots,3,A41,A598,0.5,0.0,0.5,0.0,A407,A109/A5109
avoid_hotspots,4,A598,A109/A5109,1.7,0.0,1.7,0.0,A407,A109/A5109
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A11
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A11
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A11
shortest_distance,4,LA Boundary,A11,0.7999999999999999,0.0,0.7999999999999999,0.0,A407,A11
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A11
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A11
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A11
avoid_hotspots,4,LA Boundary,A11,0.7999999999999999,0.0,0.7999999999999999,0.0,A407,A11
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A110
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A110
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A110
shortest_distance,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A110
shortest_distance,5,A10,A109,0.5,0.0,0.5,0.0,A407,A110
shortest_distance,6,A109,A110,2.1,0.0,2.1,0.0,A407,A110
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A110
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A110
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A110
avoid_hotspots,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A110
avoid_hotspots,5,A10,A109,0.5,0.0,0.5,0.0,A407,A110
avoid_hotspots,6,A109,A110,2.1,0.0,2.1,0.0,A407,A110
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
shortest_distance,2,A406,A105,2.3,0.0,2.3,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
shortest_distance,3,A105,A1004,1.9,0.0,1.9,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
shortest_distance,4,A1004,A111,0.8,0.0,0.8,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
shortest_distance,5,A111,A110 Cecil Rd/Sydney Rd roundabout,4.3,0.0,4.3,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
avoid_hotspots,2,A406,A105,2.3,0.0,2.3,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
avoid_hotspots,3,A105,A1004,1.9,0.0,1.9,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
avoid_hotspots,4,A1004,A111,0.8,0.0,0.8,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
avoid_hotspots,5,A111,A110 Cecil Rd/Sydney Rd roundabout,4.3,0.0,4.3,0.0,A407,A110 Cecil Rd/Sydney Rd roundabout
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A110 Cecil Rd/Sydney Road roundabout
shortest_distance,2,A406,A105,2.3,0.0,2.3,0.0,A407,A110 Cecil Rd/Sydney Road roundabout
shortest_distance,3,A105,A1004,1.9,0.0,1.9,0.0,A407,A110 Cecil Rd/Sydney Road roundabout
